Muscle,Exercise,Reps
Chest  (Pectoralis major),Push-Ups,  10-20 reps
Shoulders  (Deltoids),Push-Ups,  10-20 reps
Triceps,Push-Ups,  10-20 reps
Back  (Latissimusdorsi),Push-Ups,  10-20 reps
Biceps,Push-Ups,  10-20 reps
Shoulders  (Deltoids),Push-Ups,  10-20 reps
Quadriceps,Squats,  8-12 reps
Glutes,Squats,  8-12 reps
Hamstrings,Squats,  8-12 reps
Lower Back  (Erectorspinae),Deadlifts,  5-8 reps
Glutes,Deadlifts,  5-8 reps
Hamstrings,Deadlifts,  5-8 reps
Chest (Pectoralismajor),Bench Press,  8-12 reps
Shoulders (Deltoids),Bench Press,  8-12 reps
Triceps,Bench Press,  8-12 reps
Back (Rhomboids Trapezius),Rows (Barbell  Dumbbell  or Cable),  8-12 reps
Biceps,Rows (Barbell  Dumbbell  or Cable),  8-12 reps
Forearms,Rows (Barbell  Dumbbell  or Cable),  8-12 reps
Shoulders (Deltoids),Shoulder Press (Barbell or Dumbbell),  8-12 reps
Triceps,Shoulder Press (Barbell or Dumbbell),  8-12 reps
Quadriceps,Lunges,  10-12 reps per leg
Glutes,Lunges,  10-12 reps per leg
Hamstrings,Lunges,  10-12 reps per leg
Abdominals,Crunches,  15-20 reps
Quadriceps,Leg Press,  10-15 reps
Glutes,Leg Press,  10-15 reps
Hamstrings,Leg Press,  10-15 reps
Calves (Gastrocnemius Soleus),Calf Raises,  12-15 reps
Core (Abdominals Lower Back),Plank, Hold for 30 seconds to 1 minute  repeat for 3 sets
Biceps,Bicep Curls (Barbell or Dumbbell),  8-12 reps
Forearms,Bicep Curls (Barbell or Dumbbell),  8-12 reps
Triceps,Tricep Dips,  8-12 reps
Shoulders (Deltoids),Tricep Dips,  8-12 reps
Obliques,Russian Twists,  12-15 reps per side
Abdominals,Russian Twists,  12-15 reps per side
Hamstrings,Romanian Deadlifts,  8-12 reps
Glutes,Romanian Deadlifts,  8-12 reps
LowerBack,Romanian Deadlifts,  8-12 reps
Back (Latissimusdorsi),Lat Pulldowns,  8-12 reps
Biceps,Lat Pulldowns,  8-12 reps
Shoulders (Deltoids),Lat Pulldowns,  8-12 reps
Hamstrings,Hamstring Curls (Machine or Stability Ball),  10-15 reps
Chest (Pectoralimajor),Dumbbell Flyes,  10-15 reps
Shoulders (Deltoids),Dumbbell Shoulder Lateral Raises,  10-15 reps
Glutes,Barbell Hip Thrusts,  8-12 reps
Hamstrings,Barbell Hip Thrusts,  8-12 reps
Glutes,Russian Kettlebell Swings,  15-20 reps
Hamstrings,Russian Kettlebell Swings,  15-20 reps
LowerBack,Russian Kettlebell Swings,  15-20 reps
Shoulders,Russian Kettlebell Swings,  15-20 reps
Triceps,Tricep Pushdowns (Cable Machine),  10-15 reps
LowerAbs,Leg Raises,  12-15 reps
HipFlexors,Leg Raises,  12-15 reps
Back (Rhomboids Trapezius),Barbell Bent-Over Rows,  8-12 reps
Biceps,Barbell Bent-Over Rows,  8-12 reps
Forearms,Barbell Bent-Over Rows,  8-12 reps
Quadriceps,Step-Ups,  10-12 reps per leg
Glutes,Step-Ups,  10-12 reps per leg
Hamstrings,Step-Ups,  10-12 reps per leg
Back (Rhomboids Trapezius),Seated Cable Rows,  8-12 reps
Biceps,Seated Cable Rows,  8-12 reps
Quadriceps,Reverse Lunges,  10-12 reps per leg
Glutes,Reverse Lunges,  10-12 reps per leg
Hamstrings,Reverse Lunges,  10-12 reps per leg
LowerAbs,Hanging Leg Raises,  10-15 reps
HipFlexors,Hanging Leg Raises,  10-15 reps
Chest (Pectoralismajor),Push-Up Variations (Diamond  Wide  Decline  etc.),  8-15 reps
Shoulders (Deltoids),Push-Up Variations (Diamond  Wide  Decline  etc.),  8-15 reps
Triceps,Push-Up Variations (Diamond  Wide  Decline  etc.),  8-15 reps
Quadriceps,Front Squats,  6-10 reps
Glutes,Front Squats,  6-10 reps
Hamstrings,Front Squats,  6-10 reps
Core,Front Squats,  6-10 reps
Quadriceps,Bulgarian Split Squats,  8-12 reps per leg
Glutes,Bulgarian Split Squats,  8-12 reps per leg
Hamstrings,Bulgarian Split Squats,  8-12 reps per leg
Core,Bulgarian Split Squats,  8-12 reps per leg
Upper,Incline Bench Press,  8-12 reps
Chest (Clavicularportion of Pectoralis major),Incline Bench Press,  8-12 reps
Shoulders,Incline Bench Press,  8-12 reps
Triceps,Incline Bench Press,  8-12 reps
Chest (Pectoralis major),Chest Dips,  8-12 reps
Shoulders,Chest Dips,  8-12 reps
Triceps,Chest Dips,  8-12 reps
Chest (Pectoralis major),Dumbbell Pullover,  10-15 reps
Lats,Dumbbell Pullover,  10-15 reps
Triceps,Dumbbell Pullover,  10-15 reps
Shoulders,Dumbbell Pullover,  10-15 reps
Abdominals,Cable Crunches,  12-15 reps
Core,Cable Crunches,  12-15 reps
RearDelts,Reverse Flyes,  10-15 reps
Upper Back (Rhomboids),Reverse Flyes,  10-15 reps
Calves (Gastrocnemius Soleus),Barbell Calf Raises,  12-15 reps
Quadriceps,Seated Leg Press,  10-15 reps
Glutes,Seated Leg Press,  10-15 reps
Hamstrings,Seated Leg Press,  10-15 reps
Triceps,Overhead Tricep Extensions,  10-15 reps
Shoulders,Overhead Tricep Extensions,  10-15 reps
Calves (Gastrocnemius Soleus),Standing Calf Raises,  12-15 reps
Quadriceps,Leg Extensions,  10-15 reps
LowerChest (Sternalportion of Pectoralis major),Decline Bench Press,  8-12 reps
Shoulders,Decline Bench Press,  8-12 reps
Triceps,Decline Bench Press,  8-12 reps
HipAbductors,Lateral Leg Raises,  12-15 reps per leg
Obliques,Hanging Leg Raises with Twist,  10-15 reps
LowerAbs,Hanging Leg Raises with Twist,  10-15 reps
HipFlexors,Hanging Leg Raises with Twist,  10-15 reps
Obliques,Russian Ball Twists,  15-20 reps per side
Abdominals,Russian Ball Twists,  15-20 reps per side
Obliques,Cable Woodchoppers,  10-15 reps per side
Core,Cable Woodchoppers,  10-15 reps per side
Back (Lats Rhomboids Trapezius),T-Bar Rows,  8-12 reps
Biceps,T-Bar Rows,  8-12 reps
Quadriceps,Jump Squats,  10-15 reps
Glutes,Jump Squats,  10-15 reps
Hamstrings,Jump Squats,  10-15 reps
Calves,Jump Squats,  10-15 reps
FullBody (Explosive Movement),Medicine Ball Slams,  10-15 reps
Shoulders (Deltoids),Seated Overhead Dumbbell Press,  8-12 reps
Triceps,Seated Overhead Dumbbell Press,  8-12 reps
Quadriceps,Kettlebell Goblet Squats,  10-15 reps
Glutes,Kettlebell Goblet Squats,  10-15 reps
Hamstrings,Kettlebell Goblet Squats,  10-15 reps
Core,Kettlebell Goblet Squats,  10-15 reps
Hamstrings,Single-Leg Romanian Deadlifts,  8-12 reps per leg
Glutes,Single-Leg Romanian Deadlifts,  8-12 reps per leg
LowerBack,Single-Leg Romanian Deadlifts,  8-12 reps per leg
Core,Single-Leg Romanian Deadlifts,  8-12 reps per leg
Chest (Pectoralis major),Machine Chest Press,  10-15 reps
Shoulders,Machine Chest Press,  10-15 reps
Triceps,Machine Chest Press,  10-15 reps
Back (Latissimusdorsi),Wide-Grip Pull-Ups,  6-10 reps
Biceps,Wide-Grip Pull-Ups,  6-10 reps
Shoulders,Wide-Grip Pull-Ups,  6-10 reps
Shoulders (Deltoids),Seated Dumbbell Shoulder Press,  8-12 reps
Triceps,Seated Dumbbell Shoulder Press,  8-12 reps
Quadriceps,Dumbbell Step-Ups,  10-12 reps per leg
Glutes,Dumbbell Step-Ups,  10-12 reps per leg
Hamstrings,Dumbbell Step-Ups,  10-12 reps per leg
Core,Dumbbell Step-Ups,  10-12 reps per leg
LowerAbs,Reverse Crunches,  12-15 reps
HipFlexors,Reverse Crunches,  12-15 reps
Chest (Pectoralis major),Standing Cable Chest Flyes,  10-15 reps
Shoulders (Deltoids),Arnold Press,  8-12 reps
Triceps,Arnold Press,  8-12 reps
Trapezius,Barbell Shrugs,  10-15 reps
UpperBack,Barbell Shrugs,  10-15 reps
Triceps,Dumbbell Skull Crushers,  10-15 reps
FrontShoulders (Deltoids),Barbell Front Raises,  10-15 reps
Calves (Gastrocnemius Soleus),Leg Press Calf Raises,  12-15 reps
Hamstrings,Machine Leg Curl,  10-15 reps
Biceps,Dumbbell Hammer Curls,  10-15 reps
Forearms,Dumbbell Hammer Curls,  10-15 reps
Hamstrings,Seated Leg Curl,  10-15 reps
Calves (Gastrocnemius Soleus),Seated Calf Raises,  12-15 reps
Forearms,Barbell Wrist Curls,  12-15 reps
Abdominals,Hanging Knee Raises,  12-15 reps
HipFlexors,Hanging Knee Raises,  12-15 reps
FullBody (Cardiovascular Strength),Burpees,  10-15 reps
Legs,Box Jumps,  8-12 reps
Glutes,Box Jumps,  8-12 reps
Calves,Box Jumps,  8-12 reps
Shoulders,Battle Rope Waves,  30 seconds to 1 minute
Arms,Battle Rope Waves,  31 seconds to 1 minute
Core,Battle Rope Waves,  32 seconds to 1 minute
Quadriceps,Barbell Hack Squats,  8-12 reps
Glutes,Barbell Hack Squats,  8-12 reps
Hamstrings,Barbell Hack Squats,  8-12 reps
Back (Lats Rhomboids Trapezius),Seated Cable Rows (Wide Grip),  8-12 reps
Biceps,Seated Cable Rows (Wide Grip),  8-12 reps
Triceps,Close-Grip Bench Press,  8-12 reps
 Chest (Secondary),Close-Grip Bench Press,  8-12 reps
Back (LatsRhomboids Trapezius),Single-Arm Dumbbell Row,  8-12 reps per arm
Biceps,Single-Arm Dumbbell Row,  8-12 reps per arm
Back (Lats Rhomboids Trapezius),Reverse Grip Barbell Rows,  8-12 reps 
Biceps,Reverse Grip Barbell Rows,  8-12 reps 
Triceps,Seated Dumbbell Tricep Extensions,  10-15 reps
Shoulders (Lateral Deltoids),Dumbbell Side Lateral Raises,  10-15 reps
